month,vegetables_min,vegetables_max,food_min,food_max,flowers_min,flowers_max,vegetables_2020,food_2020,flowers_2020
Jan,10,18,18,23,11,13,17,26,15
Feb,14,25,17,24,14,22,19,24,21
March,17,29,19,26,20,32,81,39,35
April,26,31,22,26,27,37,100,56,74
May,24,34,22,29,30,46,69,56,87
June,17,22,23,26,25,41,50,48,70
July,15,22,19,22,19,35,40,32,57
Aug,18,21,16,21,16,25,33,24,37
Sept,14,20,20,26,16,20,33,26,36
Oct,12,15,19,24,11,14,24,25,17
Nov,10,11,16,24,8,11,16,23,14
Dec,5,10,12,18,7,9,14,22,18
