month,2015,2016,2017,2018,2019,2020,2021,2022
Jan,18,17,17,20,18,22,30,31
Feb,20,22,23,24,28,24,44,30
March,29,34,33,26,34,36,75,45
April,43,38,45,43,46,99,77,55
May,37,45,44,47,46,100,55,52
June,36,45,40,46,43,77,62,48
July,35,35,36,40,43,59,55,52
Aug,32,32,34,31,36,47,44,44
Sept,22,25,25,27,28,36,38,33
Oct,19,19,20,21,21,29,28,28
Nov,14,14,17,16,17,24,23,21
Dec,13,14,13,15,17,19,18,17
